food,drinking,dream,sex,toilet,high,output_need
0.9250130676878654,0.9307353826676523,0.8566407727827564,0.6701591579640316,0.13090871186144648,0.8340796941396451,f_go_high
0.9805540439726068,0.6655158869708957,0.30836779242217416,0.7060344490300956,0.828310691343039,0.3434131049740273,a_go_eat
0.3913649479507555,0.8896208582236799,0.503490262042295,0.7574436285762061,0.3886916748359809,0.40001247833036957,e_go_to_toilet
0.23621421972692258,0.8315236144897429,0.05399059444360721,0.5457550959523435,0.5858532546522403,0.8970548842628414,f_go_high
0.056566361866101866,0.035147313474667596,0.19506620118325868,0.3804578593078145,0.6732528238200993,0.6967736907675908,f_go_high
0.7266334303856282,0.40810509870316003,0.09561224391492962,0.8072465446166164,0.4792996473383494,0.606144067428181,b_go_drink
0.6174158226969755,0.490696770212671,0.37502586201566523,0.549474643958585,0.36081434977939575,0.7232936343519327,b_go_drink
0.162049189611437,0.4390436265487557,0.7906037662874337,0.5699702509329007,0.9246746949756606,0.30275187010379656,f_go_high
0.47370314495751753,0.27142687963472223,0.03957892470379276,0.8520721109000722,0.845035163907472,0.6816963874691178,f_go_high
0.14775401153418244,0.15853248147931143,0.33756234078541625,0.40966125292774697,0.43487105078389066,0.8168457748414688,d_go_sex
0.8066322573846458,0.24892302485072404,0.38990923840275715,0.8210732905007094,0.1394060016124734,0.9333607826144668,e_go_to_toilet
0.90223013826877,0.32506907634239646,0.7235284467027201,0.7959859541786256,0.9027365194823724,0.3388869283401619,a_go_eat
0.7409582650142014,0.8076485410505452,0.36465601566241257,0.4234004243035693,0.3642269891018405,0.30555837144876485,a_go_eat
0.5734346998946142,0.005794050074447998,0.7857656404196822,0.44901609684429034,0.8174585715526193,0.3304966961975283,c_go_sleep
0.4498141305690545,0.6111758869135102,0.9601441394280981,0.5370012857307475,0.09275691570375522,0.586932252857381,f_go_high
0.5060138760417983,0.84259724913852,0.6913586265534262,0.6507332108939576,0.10928005121739526,0.45321254476134026,d_go_sex
0.11883181448271907,0.8521182051851776,0.9660331213112966,0.9347608533122311,0.38968780779573975,0.9842529615005033,d_go_sex
0.16992964351801687,0.13154656546579147,0.6079042440831036,0.4824196058850405,0.23547237438931412,0.6640457818260496,f_go_high
0.45289266554581464,0.34366145622295985,0.6868108999932826,0.8025171357486005,0.9357805810583215,0.9380396540131033,f_go_high
0.015579965923677053,0.5818793312837375,0.5979896589774716,0.3009706806203918,0.9750325081385143,0.6713436845894136,f_go_high
0.5817417595041987,0.8175070357274358,0.42429651921858147,0.3474506759724598,0.7122905603776866,0.9976214179263163,b_go_drink
0.538471845024869,0.41153320509405644,0.370346959660558,0.8960861058637934,0.11697485798839535,0.6437675142036433,f_go_high
0.6319534790010806,0.7598584445433149,0.01681535738032358,0.623173568589259,0.7772582417774867,0.5786897728976317,d_go_sex
